Date,Open,High,Low,Close,Volume
2020-01-02,5.942872843002966,5.971746921539307,5.892343086871904,5.971746921539307,237536000
2020-01-03,5.8520181115010415,5.919972391625994,5.827126404235172,5.876163005828857,205384000
2020-01-06,5.78282040836929,5.906033643656061,5.756684325098751,5.900806427001953,262636000
2020-01-07,5.929181691904879,6.018044830947195,5.884127936555174,5.9722442626953125,314856000
2020-01-08,5.968012301157384,6.02476533080806,5.927936984247167,5.983445167541504,277108000
2020-01-09,6.069820567182259,6.121595173601819,5.9953946891466146,6.049160480499268,255112000
2020-01-10,6.156442552812923,6.186810255901487,6.067330628243906,6.081518650054932,316296000
2020-01-13,6.1646570922930986,6.297329150957725,6.142005348332934,6.272188663482666,319840000
2020-01-14,6.229373746085979,6.254763483153179,6.142004241545948,6.1551971435546875,359088000
2020-01-15,6.167893602036419,6.19029609529159,6.086746877537895,6.112634181976318,263104000
2020-01-16,6.166149637417852,6.202242586844452,6.142751557564768,6.196268558502197,284192000
2020-01-17,6.215435759214884,6.222903414229106,6.1574383487703335,6.204981327056885,253792000
2020-01-21,6.168390060082717,6.205229822302754,6.137524326189438,6.171626091003418,217916000
2020-01-22,6.216928747867939,6.312263474071034,6.19801107025373,6.225640773773193,239240000
2020-01-23,6.265717088011191,6.302556379249734,6.176853941628619,6.294093132019043,244516000
2020-01-24,6.409590891694612,6.459374311829318,6.1805880136607465,6.234851837158203,373512000
2020-01-27,5.930178879962531,6.02999451048028,5.780580298678042,5.97896671295166,470536000
2020-01-28,6.044927982147222,6.2047321817774606,5.9916597573472,6.172373294830322,310976000
2020-01-29,6.157936810518202,6.194029766775103,6.072060433577997,6.111887454986572,258848000
2020-01-30,6.014063191282162,6.1320496832853735,5.959053027351357,6.118607997894287,290504000
2020-01-31,6.07280641176259,6.084754469065642,5.843306003914953,5.8851237297058105,370420000
2020-02-03,5.866952629165491,6.001616335657508,5.860729821377482,5.982201099395752,255564000
2020-02-04,6.124083534751858,6.170630918127771,6.074051340845975,6.151463985443115,271544000
2020-02-05,6.272437294339877,6.282642946634666,6.158433663355791,6.241820812225342,208220000
2020-02-06,6.27617149723825,6.328692436218262,6.1950247854163525,6.328692436218262,218284000
2020-02-07,6.2886182508069455,6.310771965170551,6.237092420099873,6.262482166290283,189752000
2020-02-10,6.28513280377701,6.546494572045924,6.280154366819347,6.545748233795166,529608000
2020-02-11,6.654025347107429,6.782963800994379,6.592045100779323,6.668213367462158,638556000
2020-02-12,6.720983077789846,6.790430973191177,6.682152134326557,6.783958911895752,374644000
2020-02-13,6.725962906211298,6.80735839934338,6.698581979251082,6.7401509284973145,528016000
2020-02-14,7.150364439352846,7.3422787455673495,7.119001144887547,7.2133402824401855,1041924000
2020-02-18,7.110039466491015,7.4005249921941605,7.090624230462112,7.382104873657227,620164000
2020-02-19,7.504573163085247,7.851064498568889,7.504573163085247,7.833391189575195,694332000
2020-02-20,7.785349784048547,7.873714894888247,7.37662945552859,7.6840410232543945,810052000
2020-02-21,7.57177907094402,7.5969195554944395,7.2349954250381225,7.319875717163086,768180000
2020-02-24,6.725464993578654,7.016199338897415,6.670952392850735,6.802380084991455,856916000
2020-02-25,6.87755297413896,6.939533231849029,6.421040848946925,6.522847652435303,1055496000
2020-02-26,6.523096375608877,6.856395270291198,6.521603224363224,6.662240505218506,747732000
2020-02-27,6.3486661896433265,6.650035058030481,6.198978180673771,6.291381359100342,906416000
2020-02-28,6.038831058815997,6.786026182128024,6.0221438416779725,6.726499557495117,1133252000
2020-03-02,6.896610661189124,6.913796208685939,6.500597234243079,6.884904384613037,890744000
